gene	chrom	position
A1BG	19	2708071831
A1CF	10	1724085814
A2M	12	1950361309
A2ML1	12	1950116138
A3GALT2	1	33306766
A4GALT	22	2861927062
A4GNT	3	628915901
AAAS	12	1994600975
AACS	12	2066359071
AADAC	3	642605800
AADACL2	3	642525673
AADACL3	1	12716177
AADACL4	1	12644547
AADAT	4	858891232
AAGAB	15	2361586738
AAK1	2	318394232
AAMDC	11	1884747013
AAMP	2	467182896
AANAT	17	2562849059
AAR2	20	2744536067
AARD	8	1507041173
AARS	16	2466559697
AARS2	6	1104674124
AARSD1	17	2529333479
AASDH	4	745168706
AASDHPPT	11	1912983538
AASS	7	1353034647
AATF	17	2523332012
AATK	17	2567501288
ABAT	16	2405042716
ABCA1	9	1639941401
ABCA10	17	2555531713
ABCA12	2	463850997
ABCA13	7	1279129642
ABCA2	9	1672165015
ABCA3	16	2398583650
ABCA4	1	93993237
ABCA5	17	2555630423
ABCA6	17	2555461859
ABCA7	19	2650766171
ABCA8	17	2555250971
ABCA9	17	2555358801
ABCB1	7	1318462401
ABCB10	1	229518179
ABCB11	2	417841985
ABCB4	7	1318360254
ABCB5	7	1251581444
ABCB6	2	468128301
ABCB7	23	2945069836
ABCB8	7	1381986625
ABCB9	12	2064214524
ABCC1	16	2412256728
ABCC10	6	1103801556
ABCC11	16	2444474250
ABCC12	16	2444390691
ABCC2	10	1773061930
ABCC3	17	2537017823
ABCC4	13	2169549417
ABCC5	3	674712937
ABCC6	16	2412457109
ABCC8	11	1824298818
ABCC9	12	1963094530
ABCD1	23	3023741733
ABCD2	12	1980847398
ABCD3	1	94418479
ABCD4	14	2263140584
ABCE1	4	833934717
ABCF1	6	1090945065
ABCF2	7	1382166229
ABCF3	3	674977845
ABCG1	21	2814771474
ABCG2	4	776922538
ABCG4	11	1926055793
ABCG5	2	292731479
ABCG8	2	292757417
ABHD1	2	276042312
ABHD10	3	602770699
ABHD11	7	1304694717
ABHD12	20	2733591171
ABHD12B	14	2239726298
ABHD13	13	2182757061
ABHD14A	3	542766773
ABHD14B	3	542761063
ABHD15	17	2515945447
ABHD16A	6	1092060789
ABHD16B	20	2772157739
ABHD17A	19	2651602009
ABHD17B	9	1607019667
ABHD17C	15	2375079347
ABHD18	4	816813260
ABHD2	15	2383500245
ABHD3	18	2591129052
ABHD4	14	2211452430
ABHD5	3	534482630
ABHD6	3	549048224
ABHD8	19	2667017470
ABI1	10	1700027655
ABI2	2	452246878
ABI3	17	2535593611
ABI3BP	3	591542132
ABL1	9	1665871406
ABL2	1	179107718
ABLIM1	10	1787715345
ABLIM2	4	696797294
ABLIM3	5	1028147448
ABR	17	2487388966
ABRA	8	1496863966
ABRACL	6	1199407738
ABRAXAS1	4	772292773
ABRAXAS2	10	1798080915
ABT1	6	1086970560
ABTB1	3	618464663
ABTB2	11	1841058214
ACAA1	3	528914684
ACAA2	18	2619261308
ACACA	17	2523470202
ACACB	12	2050432892
ACAD10	12	2052986196
ACAD11	3	623350608
ACAD8	11	1941159428
ACAD9	3	619671329
ACADL	2	459107324
ACADM	1	75724788
ACADS	12	2062019372
ACADSB	10	1796288115
ACADVL	17	2493600032
ACAN	15	2383220124
ACAP1	17	2493719621
ACAP2	3	686070965
ACAP3	1	1293564
ACAT1	11	1915027434
ACAT2	6	1220135665
ACBD3	1	226146610
ACBD4	17	2531519031
ACBD5	10	1700476515
ACBD6	1	180288363
ACBD7	10	1688357615
ACCS	11	1850973455
ACCSL	11	1850953864
ACE	17	2549859981
ACE2	23	2885578371
ACER1	19	2656031523
ACER2	9	1554566171
ACER3	11	1883766804
ACHE	7	1331848372
ACIN1	14	2211913271
ACKR1	1	159204960
ACKR2	3	533656140
ACKR3	2	485498829
ACKR4	3	623392035
ACLY	17	2528250696
ACMSD	2	383757046
ACO1	9	1567562593
ACO2	22	2860703319
ACOD1	13	2151476401
ACOT1	14	2262391545
ACOT11	1	54548310
ACOT12	5	960335746
ACOT13	6	1085040841
ACOT2	14	2262423364
ACOT4	14	2262446083
ACOT6	14	2262471298
ACOT7	1	6264597
ACOT8	20	2754138036
ACOT9	23	2893720360
ACOX1	17	2562329634
ACOX2	3	549296861
ACOX3	4	697197265
ACOXL	2	359686753
ACP1	2	249183328
ACP2	11	1854145943
ACP4	19	2700515224
ACP5	19	2661299819
ACP6	1	147647423
ACP7	19	2688810079
ACPP	3	623109094
ACR	22	2869972408
ACRBP	12	1947931768
ACRV1	11	1932578420
ACSBG1	15	2372555361
ACSBG2	19	2655866353
ACSF2	17	2536809148
ACSF3	16	2485407658
ACSL1	4	873587429
ACSL3	2	471827136
ACSL4	23	2979660495
ACSL5	10	1785655395
ACSL6	5	1010959586
ACSM1	16	2416930462
ACSM2A	16	2416767091
ACSM2B	16	2416844234
ACSM3	16	2417077011
ACSM4	12	1948597818
ACSM5	16	2416718461
ACSM6	10	1768473571
ACSS1	20	2733303058
ACSS2	20	2743172844
ACSS3	12	2022371607
ACTA1	1	229431499
ACTA2	10	1762214308
ACTB	7	1236485906
ACTBL2	5	936486929
ACTC1	15	2329174329
ACTG1	17	2567893576
ACTG2	2	322819675
ACTL10	20	2741963696
ACTL6A	3	670354730
ACTL6B	7	1331601404
ACTL7A	9	1644019409
ACTL7B	9	1644011769
ACTL8	1	17823009
ACTL9	19	2658422260
ACTN1	14	2257728982
ACTN2	1	236686674
ACTN3	11	1873452338
ACTN4	19	2688372555
ACTR10	14	2247054341
ACTR1A	10	1775759948
ACTR1B	2	346575221
ACTR2	2	314146273
ACTR3	2	362808643
ACTR3B	7	1383718041
ACTR3C	7	1381207144
ACTR5	20	2747044677
ACTR6	12	2041494338
ACTR8	3	544660356
ACTRT1	23	2998067542
ACTRT2	1	3021687
ACTRT3	3	660559069
ACVR1	2	406655894
ACVR1B	12	1993245230
ACVR1C	2	406452281
ACVR2A	2	396763516
ACVR2B	3	529245960
ACVRL1	12	1993205961
ACY1	3	542775702
ACY3	11	1874548551
ACYP1	14	2263907567
ACYP2	2	302892112
ADA	20	2752916032
ADA2	22	2836415655
ADAD1	4	811210374
ADAD2	16	2480498207
ADAL	15	2337719025
ADAM10	15	2352981464
ADAM11	17	2531142086
ADAM12	10	1799296364
ADAM15	1	155051387
ADAM17	2	258408540
ADAM18	8	1429687552
ADAM19	5	1036486301
ADAM2	8	1429847789
ADAM21	14	2259311623
ADAM22	7	1318892624
ADAM23	2	455362230
ADAM28	8	1414397079
ADAM29	4	863805830
ADAM30	1	119893964
ADAM32	8	1429210604
ADAM33	20	2711965161
ADAM7	8	1414544038
ADAM8	10	1806542241
ADAM9	8	1429099993
ADAMDEC1	8	1414487434
ADAMTS1	21	2799407377
ADAMTS10	19	2658305702
ADAMTS12	5	912532540
ADAMTS13	9	1668579530
ADAMTS14	10	1743951888
ADAMTS15	11	1937354801
ADAMTS16	5	884145820
ADAMTS17	15	2394358319
ADAMTS18	16	2473590932
ADAMTS19	5	1008465744
ADAMTS2	5	1058119219
ADAMTS20	12	1984647695
ADAMTS3	4	761113440
ADAMTS4	1	161191138
ADAMTS5	21	2799493851
ADAMTS6	5	944157188
ADAMTS7	15	2373143338
ADAMTS8	11	1937311385
ADAMTS9	3	555313808
ADAMTSL1	9	1553631319
ADAMTSL2	9	1668693799
ADAMTSL3	15	2378039679
ADAMTSL4	1	150552289
ADAMTSL5	19	2651230824
ADAP1	7	1231857079
ADAP2	17	2517304901
ADAR	1	154584806
ADARB1	21	2817741455
ADARB2	10	1674462278
ADAT1	16	2471907192
ADAT2	6	1203802040
ADAT3	19	2651636857
ADCK1	14	2266673102
ADCK2	7	1371631489
ADCK5	8	1534477025
ADCY1	7	1276532702
ADCY10	1	167809678
ADCY2	5	886401649
ADCY3	2	273738295
ADCY4	14	2213172539
ADCY5	3	614076245
ADCY6	12	1990062077
ADCY7	16	2446595156
ADCY8	8	1520883319
ADCY9	16	2400272751
ADCYAP1	18	2570382848
ADCYAP1R1	7	1262021423
ADD1	4	691706220
ADD2	2	319581788
ADD3	10	1783379739
ADGRA1	10	1806367995
ADGRA2	8	1427900198
ADGRA3	4	711218009
ADGRB1	8	1532567128
ADGRB2	1	31727420
ADGRB3	6	1129012253
ADGRD1	12	2072247952
ADGRE1	19	2656612418
ADGRE2	19	2664461045
ADGRE3	19	2664344242
ADGRE5	19	2664106333
ADGRF1	6	1107373799
ADGRF3	2	275227449
ADGRF4	6	1108080823
ADGRF5	6	1107227569
ADGRG1	16	2453957264
ADGRG2	23	2889007330
ADGRG3	16	2453975324
ADGRG4	23	3006325244
ADGRG5	16	2453869070
ADGRG6	6	1202675907
ADGRG7	3	591401494
ADGRL1	19	2663875682
ADGRL2	1	81836985
ADGRL3	4	750327598
ADGRL4	1	78891154
ADGRV1	5	969564248
ADH1A	4	788106928
ADH1B	4	788138144
ADH1C	4	788167056
ADH4	4	787954746
ADH5	4	787902721
ADH6	4	788034523
ADH7	4	788243452
ADHFE1	8	1456535446
ADI1	2	252417326
ADIG	20	2746877449
ADIPOQ	3	677644696
ADIPOR1	1	202941573
ADIPOR2	12	1943047830
ADIRF	10	1760247630
ADK	10	1747430364
ADM	11	1817211528
ADM2	22	2869716020
ADM5	19	2699414647
ADNP	20	2759187603
ADNP2	18	2649595004
ADO	10	1736084145
ADORA1	1	203128842
ADORA2A	22	2843667577
ADORA2B	17	2502328135
ADORA3	1	111499950
ADPGK	15	2367136258
ADPRH	3	610373807
ADPRHL1	13	2187950664
ADPRHL2	1	36088905
ADPRM	17	2497087813
ADRA1A	8	1416851519
ADRA1B	5	1038922258
ADRA1D	20	2712517721
ADRA2A	10	1784357082
ADRA2B	2	345033160
ADRA2C	4	692596911
ADRB1	10	1787323218
ADRB2	5	1027832184
ADRB3	8	1428067147
ADRM1	20	2770599767
ADSL	22	2859580731
ADSS	1	244409586
ADSSL1	14	2293578394
ADTRP	6	1072088055
AEBP1	7	1275062824
AEBP2	12	1960733186
AEN	15	2383010127
AES	19	2652778628
AFAP1	4	696594069
AFAP1L1	5	1028277321
AFAP1L2	10	1787575127
AFDN	6	1228200710
AFF1	4	775778838
AFF2	23	3018517564
AFF3	2	348469837
AFF4	5	1011886411
AFG1L	6	1168668657
AFG3L2	18	2581807026
AFM	4	762312080
AFMID	17	2564570257
AFP	4	762266567
AFTPH	2	313469838
AGA	4	866262012
AGAP1	2	484413050
AGAP2	12	1999020038
AGAP3	7	1382044900
AGAP4	10	1719105000
AGAP5	10	1746953684
AGAP6	10	1723267801
AGAP9	10	1720781237
AGBL1	15	2380463890
AGBL2	11	1854566000
AGBL3	7	1365946092
AGBL4	1	48534173
AGBL5	2	275971322
AGER	6	1092554720
AGFG1	2	476390785
AGFG2	7	1331497505
AGGF1	5	956036119
AGK	7	1372513625
AGL	1	99851043
AGMAT	1	15573651
AGMO	7	1246159443
AGO1	1	35883422
AGO2	8	1530634973
AGO3	1	35931427
AGO4	1	35808417
AGPAT1	6	1092542853
AGPAT2	9	1671830838
AGPAT3	21	2816529480
AGPAT4	6	1221510117
AGPAT5	8	1396811598
AGPS	2	426311153
AGR2	7	1247751066
AGR3	7	1247817740
AGRN	1	1020173
AGRP	16	2463789612
AGT	1	230703141
AGTPBP1	9	1620704195
AGTR1	3	639521817
AGTR2	23	2986188747
AGTRAP	1	11736209
AGXT	2	489787229
AGXT2	5	914004071
AHCTF1	1	246840806
AHCY	20	2742577232
AHCYL1	1	109985053
AHCYL2	7	1360183235
AHDC1	1	27547304
AHI1	6	1195659222
AHNAK	11	1869339711
AHNAK2	14	2293792186
AHR	7	1248257423
AHRR	5	879309572
AHSA1	14	2266312313
AHSG	3	677404779
AHSP	16	2427835116
AICDA	12	1949897770
AIDA	1	222669893
AIF1	6	1091988907
AIF1L	9	1666253716
AIFM1	23	3000146023
AIFM2	10	1743393263
AIFM3	22	2840202117
AIG1	6	1203434503
AIM2	1	159062692
AIMP1	4	795146852
AIMP2	7	1236967522
AIP	11	1874388986
AIPL1	17	2492808346
AIRE	21	2816855805
AJAP1	1	4655426
AJM1	9	1672001501
AJUBA	14	2211827566
AK1	9	1663025094
AK2	1	33010829
AK3	9	1539870062
AK4	1	65148408
AK5	1	77282314
AK6	5	948357413
AK7	14	2285246278
AK8	9	1667882774
AK9	6	1169866946
AKAIN1	18	2574623023
AKAP1	17	2543488351
AKAP10	17	2506289113
AKAP11	13	2116814191
AKAP12	6	1211614140
AKAP13	15	2379869638
AKAP14	23	2989919690
AKAP17A	23	2871609929
AKAP17A	24	3027620338
AKAP2	9	1645205786
AKAP3	12	1945909225
AKAP4	23	2920207426
AKAP5	14	2253322518
AKAP6	14	2221287617
AKAP7	6	1191509341
AKAP8	19	2665079724
AKAP8L	19	2665104931
AKAP9	7	1322899258
AKIP1	11	1815817277
AKIRIN1	1	38991381
AKIRIN2	6	1148049174
AKNA	9	1649494140
AKNAD1	1	108816171
AKR1A1	1	45561795
