Gene	ENST_ID
AAGAB	ENST00000261880
A1BG	ENST00000263100
A2M	ENST00000318602
A1CF	ENST00000373993
A2ML1	ENST00000299698
AACS	ENST00000316519
A4GALT	ENST00000249005
A3GALT2	ENST00000442999
AAAS	ENST00000209873
A4GNT	ENST00000236709
AADAC	ENST00000232892
AADACL4	ENST00000376221
AADAT	ENST00000337664
AADACL2	ENST00000356517
AAR2	ENST00000320849
AADACL3	ENST00000359318
AASDH	ENST00000205214
ABAT	ENST00000268251
AATF	ENST00000225402
AARD	ENST00000378279
AASDHPPT	ENST00000278618
AARS	ENST00000261772
AATK	ENST00000326724
AAMP	ENST00000248450
AARS2	ENST00000244571
AAMDC	ENST00000393427
AARSD1	ENST00000427569
AANAT	ENST00000392492
AASS	ENST00000393376
AAK1	ENST00000409085
ABCA8	ENST00000269080
ABCA12	ENST00000272895
ABCB4	ENST00000265723
ABCB1	ENST00000265724
ABCA2	ENST00000341511
ABCA4	ENST00000370225
ABCB10	ENST00000344517
ABCA6	ENST00000284425
ABCA7	ENST00000263094
ABCB6	ENST00000265316
ABCA10	ENST00000269081
ABCA5	ENST00000392676
ABCA13	ENST00000435803
ABCB11	ENST00000263817
ABCA9	ENST00000340001
ABCA1	ENST00000374736
ABCC12	ENST00000311303
ABCB7	ENST00000373394
ABCC6	ENST00000205557
ABCB9	ENST00000280560
ABCC3	ENST00000285238
ABCB8	ENST00000297504
ABCC11	ENST00000356608
ABCC5	ENST00000334444
ABCA3	ENST00000301732
ABCC2	ENST00000370449
ABCC10	ENST00000372530
ABCB5	ENST00000404938
ABCC1	ENST00000399410
ABCC4	ENST00000376887
ABCF3	ENST00000429586
ABCC9	ENST00000261201
ABCD1	ENST00000218104
ABCG5	ENST00000260645
ABCG4	ENST00000307417
ABCG1	ENST00000361802
ABCG8	ENST00000272286
ABCF1	ENST00000326195
ABCD3	ENST00000370214
ABCD4	ENST00000356924
ABCD2	ENST00000308666
ABCE1	ENST00000296577
ABHD1	ENST00000316470
ABHD10	ENST00000273359
ABCC8	ENST00000389817
ABCF2	ENST00000287844
ABHD14B	ENST00000361143
ABHD14A	ENST00000273596
ABHD17A	ENST00000292577
ABCG2	ENST00000237612
ABHD16B	ENST00000369916
ABHD15	ENST00000307201
ABHD12B	ENST00000337334
ABHD11	ENST00000222800
ABHD13	ENST00000375898
ABHD17B	ENST00000333421
ABHD17C	ENST00000258884
ABHD12	ENST00000339157
ABHD16A	ENST00000395952
ABHD18	ENST00000398965
ABHD6	ENST00000295962
ABHD2	ENST00000352732
ABHD8	ENST00000247706
ABHD3	ENST00000289119
ABHD4	ENST00000428304
ABHD5	ENST00000458276
ABI1	ENST00000376142
ABI2	ENST00000295851
ABI3	ENST00000225941
ABL1	ENST00000318560
ABI3BP	ENST00000284322
ACAD11	ENST00000264990
ACACA	ENST00000353139
ABRACL	ENST00000367660
ABR	ENST00000302538
ABLIM2	ENST00000341937
ABRAXAS1	ENST00000321945
ABLIM3	ENST00000309868
ABRA	ENST00000311955
ABRAXAS2	ENST00000298492
ACAA2	ENST00000285093
ABT1	ENST00000274849
ABTB2	ENST00000435224
ACAA1	ENST00000333167
ACAD10	ENST00000313698
ABTB1	ENST00000232744
ACAD8	ENST00000281182
ACACB	ENST00000338432
ABLIM1	ENST00000277895
ABL2	ENST00000502732
ACAP2	ENST00000326793
ACADL	ENST00000233710
ACAP1	ENST00000158762
ACAN	ENST00000439576
ACADS	ENST00000242592
ACAT1	ENST00000265838
ACAD9	ENST00000308982
ACER2	ENST00000340967
ACAP3	ENST00000354700
ACAT2	ENST00000367048
ACCS	ENST00000263776
ACE2	ENST00000252519
ACHE	ENST00000241069
ACIN1	ENST00000262710
ACADVL	ENST00000356839
ACBD7	ENST00000356189
ACCSL	ENST00000378832
ACKR4	ENST00000249887
ACBD6	ENST00000367595
ACE	ENST00000290866
ACKR2	ENST00000273145
ACADM	ENST00000370841
ACADSB	ENST00000358776
ACBD3	ENST00000366812
