Gene stable ID	Transcript stable ID	UniProtKB/Swiss-Prot ID
ENSG00000198888	ENST00000361390	P03886
ENSG00000198763	ENST00000361453	P03891
ENSG00000198804	ENST00000361624	P00395
ENSG00000198712	ENST00000361739	P00403
ENSG00000228253	ENST00000361851	P03928
ENSG00000198899	ENST00000361899	P00846
ENSG00000198938	ENST00000362079	P00414
ENSG00000198840	ENST00000361227	P03897
ENSG00000212907	ENST00000361335	P03901
ENSG00000198886	ENST00000361381	P03905
ENSG00000198786	ENST00000361567	P03915
ENSG00000198695	ENST00000361681	P03923
ENSG00000198727	ENST00000361789	P00156
ENSG00000205765	ENST00000381647	A6NDU8
ENSG00000137275	ENST00000259808	Q13546
ENSG00000137275	ENST00000380409	Q13546
ENSG00000205765	ENST00000612065	
ENSG00000282471	ENST00000633896	
ENSG00000224496	ENST00000433713	Q6P9F5
ENSG00000224496	ENST00000436951	Q6P9F5
ENSG00000262102	ENST00000572659	Q8IZU8
ENSG00000214978	ENST00000399363	A8MUP6
ENSG00000224496	ENST00000616351	Q6P9F5
ENSG00000184544	ENST00000571771	
ENSG00000273976	ENST00000614055	Q8N7Z2
ENSG00000184544	ENST00000330255	A6NNS2
ENSG00000184544	ENST00000571134	A6NNS2
ENSG00000153404	ENST00000637938	
ENSG00000167193	ENST00000398970	P46108
ENSG00000153404	ENST00000502646	
ENSG00000153404	ENST00000283426	Q96PX9
ENSG00000167193	ENST00000300574	P46108
ENSG00000185340	ENST00000616432	
ENSG00000185340	ENST00000416823	
ENSG00000167193	ENST00000574295	
ENSG00000185340	ENST00000428622	
ENSG00000185340	ENST00000406549	Q99501
ENSG00000185340	ENST00000610653	Q99501
ENSG00000185340	ENST00000621062	
ENSG00000185340	ENST00000618518	
ENSG00000185340	ENST00000611648	
ENSG00000204539	ENST00000376288	
ENSG00000204538	ENST00000259845	Q9UIG4
ENSG00000130538	ENST00000643195	
ENSG00000204540	ENST00000259881	Q9UIG5
ENSG00000130538	ENST00000252835	Q8NG94
ENSG00000137806	ENST00000260361	Q9Y375
ENSG00000204540	ENST00000547221	
ENSG00000204540	ENST00000481450	
ENSG00000137806	ENST00000559127	
ENSG00000137806	ENST00000560978	
ENSG00000137806	ENST00000558719	
ENSG00000275659	ENST00000612933	
ENSG00000275659	ENST00000620703	
ENSG00000263310	ENST00000576809	
ENSG00000267740	ENST00000592091	
ENSG00000263310	ENST00000572106	
ENSG00000263310	ENST00000573592	
ENSG00000267740	ENST00000586349	
ENSG00000267740	ENST00000585661	
ENSG00000263310	ENST00000614625	
ENSG00000107295	ENST00000380607	Q99962
ENSG00000174886	ENST00000418389	Q86Y39
ENSG00000231268	ENST00000424145	
ENSG00000174886	ENST00000592634	
ENSG00000185028	ENST00000328278	A6NHZ5
ENSG00000174886	ENST00000308961	Q86Y39
ENSG00000176595	ENST00000320248	O94819
ENSG00000276044	ENST00000621002	
ENSG00000130383	ENST00000588525	
ENSG00000274273	ENST00000619535	
ENSG00000130383	ENST00000252675	Q11128
ENSG00000223752	ENST00000423338	Q5SQI0
ENSG00000276044	ENST00000616384	Q99706
ENSG00000276044	ENST00000622350	
ENSG00000276044	ENST00000612879	
ENSG00000275122	ENST00000610842	Q8N1K5
ENSG00000277078	ENST00000615996	
ENSG00000275122	ENST00000614155	Q8N1K5
ENSG00000275122	ENST00000626111	
ENSG00000275122	ENST00000613862	Q8N1K5
ENSG00000188403	ENST00000338912	
ENSG00000282240	ENST00000633472	
ENSG00000282342	ENST00000632178	
ENSG00000223752	ENST00000445486	Q5SQI0
ENSG00000282409	ENST00000634062	A0A0C4DH62
ENSG00000164366	ENST00000296824	Q96BQ5
ENSG00000164366	ENST00000441693	
ENSG00000139684	ENST00000378720	P10768
ENSG00000223752	ENST00000424121	Q5SQI0
ENSG00000139684	ENST00000378697	
ENSG00000282203	ENST00000631882	
ENSG00000223752	ENST00000457161	Q5SQI0
ENSG00000139684	ENST00000412582	
ENSG00000139684	ENST00000471867	
ENSG00000223752	ENST00000450003	Q5SQI0
ENSG00000282455	ENST00000632524	
ENSG00000223752	ENST00000425448	Q5SQI0
ENSG00000231268	ENST00000426320	
ENSG00000100276	ENST00000401450	Q92737
ENSG00000100276	ENST00000216101	Q92737
ENSG00000259490	ENST00000558565	
ENSG00000233803	ENST00000426950	P0CV99
ENSG00000231268	ENST00000427822	Q15109
ENSG00000231268	ENST00000454284	
ENSG00000233803	ENST00000383008	
ENSG00000233803	ENST00000640033	
ENSG00000231268	ENST00000418313	
ENSG00000231268	ENST00000550885	
ENSG00000282323	ENST00000633009	
ENSG00000137815	ENST00000389629	Q92541
ENSG00000282148	ENST00000634123	
ENSG00000137815	ENST00000560447	
ENSG00000171877	ENST00000417257	Q7Z6J6
ENSG00000231268	ENST00000549839	
ENSG00000171877	ENST00000402883	
ENSG00000231268	ENST00000551244	
ENSG00000231268	ENST00000548935	
ENSG00000171877	ENST00000449926	
ENSG00000171877	ENST00000484674	
ENSG00000237703	ENST00000449208	Q9UDY6
ENSG00000237703	ENST00000446013	Q9UDY6
ENSG00000282724	ENST00000634070	
ENSG00000282204	ENST00000633328	
ENSG00000171877	ENST00000458630	
ENSG00000231268	ENST00000547213	
ENSG00000231268	ENST00000551378	
ENSG00000171877	ENST00000421674	
ENSG00000282674	ENST00000632963	
ENSG00000171877	ENST00000558108	
ENSG00000171877	ENST00000451277	
ENSG00000171877	ENST00000636859	
ENSG00000282640	ENST00000633030	
ENSG00000171877	ENST00000618556	
ENSG00000282618	ENST00000632248	A0A0K0K1A3
ENSG00000161082	ENST00000292672	Q8N6W0
ENSG00000161082	ENST00000541430	Q8N6W0
ENSG00000139505	ENST00000381801	Q9Y217
ENSG00000161082	ENST00000334293	
ENSG00000161082	ENST00000588350	
ENSG00000276856	ENST00000631187	
ENSG00000276856	ENST00000630135	
ENSG00000276856	ENST00000620361	
ENSG00000276856	ENST00000628386	
ENSG00000286169	ENST00000506909	
ENSG00000275080	ENST00000617127	
ENSG00000276856	ENST00000625857	
ENSG00000276856	ENST00000626276	
ENSG00000276856	ENST00000626693	
ENSG00000137177	ENST00000378814	Q9H1H9
ENSG00000276856	ENST00000627961	
ENSG00000137177	ENST00000502297	
ENSG00000151876	ENST00000513496	
ENSG00000137177	ENST00000259711	Q9H1H9
ENSG00000137177	ENST00000378843	Q9H1H9
ENSG00000137177	ENST00000378826	Q9H1H9
ENSG00000286169	ENST00000505113	A9YTQ3
ENSG00000137177	ENST00000636847	
ENSG00000119318	ENST00000419616	
ENSG00000137177	ENST00000358380	
ENSG00000286169	ENST00000316418	A9YTQ3
ENSG00000137177	ENST00000506044	
ENSG00000286169	ENST00000512529	
ENSG00000151876	ENST00000296812	Q9UKT5
ENSG00000137177	ENST00000502704	Q9H1H9
ENSG00000119318	ENST00000358015	P54727
ENSG00000211660	ENST00000390306	P01705
ENSG00000119318	ENST00000442587	
ENSG00000119318	ENST00000457811	
ENSG00000148229	ENST00000374169	Q9NRF9
ENSG00000151876	ENST00000281623	Q9UKT5
ENSG00000119318	ENST00000416373	P54727
ENSG00000211661	ENST00000390307	A0A075B6J6
ENSG00000148229	ENST00000374171	Q9NRF9
ENSG00000151876	ENST00000504463	
ENSG00000172817	ENST00000310193	O75881
ENSG00000151876	ENST00000509134	
ENSG00000211662	ENST00000390308	P80748
ENSG00000211663	ENST00000390309	P01714
ENSG00000127528	ENST00000248071	Q9Y5W3
ENSG00000127528	ENST00000592003	
ENSG00000166912	ENST00000435680	Q9NXD2
ENSG00000073578	ENST00000504309	
ENSG00000102468	ENST00000378688	P28223
ENSG00000102468	ENST00000612998	
ENSG00000102468	ENST00000542664	P28223
ENSG00000102468	ENST00000543956	P28223
ENSG00000184979	ENST00000215794	Q9UMW8
ENSG00000157653	ENST00000374165	Q8TAL5
ENSG00000157653	ENST00000288462	Q8TAL5
ENSG00000282396	ENST00000633765	
ENSG00000282711	ENST00000634176	A0A0K0K1C0
ENSG00000281984	ENST00000632619	
ENSG00000166912	ENST00000568604	Q9NXD2
ENSG00000137825	ENST00000425927	
ENSG00000166912	ENST00000568547	
ENSG00000073578	ENST00000510361	P31040
ENSG00000137825	ENST00000260386	P23677
ENSG00000166912	ENST00000567567	
ENSG00000073578	ENST00000264932	P31040
ENSG00000166912	ENST00000563714	Q9NXD2
ENSG00000073578	ENST00000509632	
ENSG00000166912	ENST00000566981	
ENSG00000166912	ENST00000564787	
ENSG00000073578	ENST00000515815	
